일자,수익률,대비,종목명
2022-01-20,2.558,0.021,국채10년
2022-01-21,2.54,-0.018,국채10년
2022-01-24,2.54,0.0,국채10년
2022-01-25,2.576,0.036,국채10년
2022-01-26,2.573,-0.003,국채10년
2022-01-27,2.612,0.039,국채10년
2022-01-28,2.586,-0.026,국채10년
2022-02-03,2.566,-0.02,국채10년
2022-02-04,2.619,0.053,국채10년
2022-02-07,2.638,0.019,국채10년
2022-02-08,2.733,0.095,국채10년
2022-02-09,2.691,-0.042,국채10년
2022-02-10,2.686,-0.005,국채10년
2022-02-11,2.747,0.061,국채10년
2022-02-14,2.714,-0.033,국채10년
2022-02-15,2.71,-0.004,국채10년
2022-02-16,2.702,-0.008,국채10년
2022-02-17,2.708,0.006,국채10년
2022-02-18,2.728,0.02,국채10년
2022-02-21,2.77,0.042,국채10년
2022-02-22,2.717,-0.053,국채10년
2022-02-23,2.722,0.005,국채10년
2022-02-24,2.624,-0.098,국채10년
2022-02-25,2.671,0.047,국채10년
2022-02-28,2.675,0.004,국채10년
2022-03-02,2.613,-0.062,국채10년
2022-03-03,2.648,0.035,국채10년
2022-03-04,2.658,0.01,국채10년
2022-03-07,2.707,0.049,국채10년
2022-03-08,2.722,0.015,국채10년
2022-03-10,2.726,0.004,국채10년
2022-03-11,2.7,-0.026,국채10년
2022-03-14,2.739,0.039,국채10년
2022-03-15,2.753,0.014,국채10년
2022-03-16,2.768,0.015,국채10년
2022-03-17,2.704,-0.064,국채10년
2022-03-18,2.737,0.033,국채10년
2022-03-21,2.741,0.004,국채10년
2022-03-22,2.832,0.091,국채10년
2022-03-23,2.828,-0.004,국채10년
2022-03-24,2.856,0.028,국채10년
2022-03-25,2.871,0.015,국채10년
2022-03-28,3.031,0.16,국채10년
2022-03-29,2.972,-0.059,국채10년
2022-03-30,2.885,-0.087,국채10년
2022-03-31,2.969,0.084,국채10년
2022-04-01,3.007,0.038,국채10년
2022-04-04,3.065,0.058,국채10년
2022-04-05,3.08,0.015,국채10년
2022-04-06,3.129,0.049,국채10년
2022-04-07,3.128,-0.001,국채10년
2022-04-08,3.169,0.041,국채10년
2022-04-11,3.305,0.136,국채10년
2022-04-12,3.313,0.008,국채10년
2022-04-13,3.287,-0.026,국채10년
2022-04-14,3.22,-0.067,국채10년
2022-04-15,3.301,0.081,국채10년
2022-04-18,3.355,0.054,국채10년
2022-04-19,3.35,-0.005,국채10년
2022-04-20,3.313,-0.037,국채10년
2022-04-21,3.296,-0.017,국채10년
2022-04-22,3.314,0.018,국채10년
2022-04-25,3.188,-0.126,국채10년
2022-04-26,3.19,0.002,국채10년
2022-04-27,3.185,-0.005,국채10년
2022-04-28,3.166,-0.019,국채10년
2022-04-29,3.242,0.076,국채10년
2022-05-02,3.38,0.138,국채10년
2022-05-03,3.406,0.026,국채10년
2022-05-04,3.434,0.028,국채10년
2022-05-06,3.431,-0.003,국채10년
2022-05-09,3.414,-0.017,국채10년
2022-05-10,3.403,-0.011,국채10년
2022-05-11,3.269,-0.134,국채10년
2022-05-12,3.169,-0.1,국채10년
2022-05-13,3.221,0.052,국채10년
2022-05-16,3.277,0.056,국채10년
2022-05-17,3.287,0.01,국채10년
2022-05-18,3.32,0.033,국채10년
